Site,N_Coords,W_Coords,Date,Team,SamplingMethod,ResearcherPresent,StartStation,StartTime,EndStation,EndTime,ClothVial,ResearchersVial,Comments
Dover,41.288779,-81.560897,6/18/2019,1,Dragging,1,04-1,10:15,04-2,10:17,NA,NA,
Dover,41.288779,-81.560897,6/18/2019,1,Dragging,1,04-2,10:18,04-3,10:21,NA,NA,
Dover,41.288779,-81.560897,6/18/2019,1,Dragging,1,04-3,10:22,05-3,10:25,NA,NA,
Dover,41.288779,-81.560897,6/18/2019,1,Dragging,1,05-3,10:27,05-2,10:30,NA,NA,
Dover,41.288779,-81.560897,6/18/2019,1,Dragging,1,05-2,10:31,05-1,10:34,NA,NA,
Dover,41.288779,-81.560897,6/18/2019,1,Dragging,1,05-1,10:35,08-1,10:40,NA,NA,
Dover,41.288779,-81.560897,6/18/2019,1,Dragging,1,08-1,10:40,08-2,10:43,NA,NA,3 ticks collected in car
Grassland at Valley View ,41.3396,-81.581,6/25/2019,1,Dragging,2,1,11:15,50 m ,11:17,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,1,Dragging,2,3,11:21,50 m ,11:23,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,1,Dragging,2,4,11:24,50 m ,11:26,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,1,Dragging,2,5,11:27,50 m ,11:28,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,1,Dragging,2,6,11:31,50 m ,11:32,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,1,Dragging,2,7,11:33,50 m ,11:35,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,1,Dragging,2,8,11:36,50 m ,11:37,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,1,Dragging,2,9,11:38,50 m ,11:39,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,1,Dragging,2,10,11:41,50 m ,11:43,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,1,11:15,50 m ,11:17,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,2,11:18,50 m ,11:20,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,3,11:21,50 m ,11:22,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,4,11:23,50 m ,11:24,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,5,11:25,50 m ,11:26,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,6,11:27,50 m ,11:29,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,7,11:31,50 m ,11:32,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,8,11:33,50 m ,11:34,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,9,11:37,50 m ,11:38,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,10,11:39,50 m ,11:41,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,11,11:42,50 m ,11:43,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,12,11:45,50 m ,11:46,NA,NA,
Cleveland Trust ,41.3926,-81.6323,6/25/2019,1,Dragging,2,1,10:28,50 m ,10:30,NA,NA,
Cleveland Trust ,41.3926,-81.6323,6/25/2019,1,Dragging,2,2,10:31,50 m ,10:33,NA,NA,
Cleveland Trust ,41.3926,-81.6323,6/25/2019,1,Dragging,2,3,10:34,50 m ,10:37,NA,NA,
Cleveland Trust ,41.3926,-81.6323,6/25/2019,1,Dragging,2,4,10:39,50 m ,10:40,NA,NA,
Cleveland Trust ,41.3926,-81.6323,6/25/2019,2,Dragging,2,1,10:29,50 m ,10:31,NA,NA,
Cleveland Trust ,41.3926,-81.6323,6/25/2019,2,Dragging,2,2,10:32,50 m ,10:33,NA,NA,
Cleveland Trust ,41.3926,-81.6323,6/25/2019,2,Dragging,2,4,10:38,50 m ,10:39,NA,NA,
Cleveland Trust ,41.3926,-81.6323,6/25/2019,2,Dragging,2,5,10:40,50 m ,10:41,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,1,12:02,50 m ,12:04,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,2,12:05,50 m ,12:06,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,3,12:07,50 m ,12:08,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,4,12:09,50 m ,12:10,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,5,12:11,50 m ,12:12,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,6,12:13,50 m ,12:14,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,7,12:14,50 m ,12:15,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,8,12:17,50 m ,12:19,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,9,12:20,50 m ,12:21,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,10,12:21,50 m ,12:23,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,11,12:23,50 m ,12:24,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,12,12:25,50 m ,12:26,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,13,12:27,50 m ,12:28,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,14,12:28,50 m ,12:29,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,15,12:30,50 m ,12:31,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,16,12:32,50 m ,12:33,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,17,12:33,50 m ,12:34,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,18,12:36,50 m ,12:37,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,19,12:37,50 m ,12:38,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,20,12:38,50 m ,12:39,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,1,12:44,20 sweeps,12:45,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,2,12:45,20 sweeps,12:45,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,3,12:46,20 sweeps,12:46,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,4,12:47,20 sweeps,12:47,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,5,12:47,20 sweeps,12:48,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,6,12:48,20 sweeps,12:49,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,7,12:49,20 sweeps,12:49,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,8,12:50,20 sweeps,12:50,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,9,12:51,20 sweeps,12:51,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,10,12:52,20 sweeps,12:52,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,11,12:52,20 sweeps,12:53,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,12,12:53,20 sweeps,12:53,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,13,12:53,20 sweeps,12:54,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,14,12:54,20 sweeps,12:54,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,15,12:55,20 sweeps,12:55,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,16,12:55,20 sweeps,12:56,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Dragging,2,1,12:03,50 m ,12:04,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Dragging,2,2,12:05,50 m ,12:07,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Dragging,2,3,12:07,50 m ,12:09,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Dragging,2,4,12:09,50 m ,12:10,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Dragging,2,5,12:11,50 m ,12:12,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Dragging,2,6,12:13,50 m ,12:14,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Dragging,2,7,12:14,50 m ,12:16,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Dragging,2,8,12:16,50 m ,12:17,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Dragging,2,9,12:18,50 m ,12:20,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Dragging,2,10,12:20,50 m ,12:21,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Dragging,2,11,12:21,50 m ,12:23,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Dragging,2,12,12:23,50 m ,12:24,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Dragging,2,13,12:25,50 m ,12:26,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Dragging,2,14,12:26,50 m ,12:27,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Dragging,2,15,12:28,50 m ,12:29,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Dragging,2,16,12:29,50 m ,12:31,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Dragging,2,17,12:31,50 m ,12:32,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Dragging,2,18,12:32,50 m ,12:33,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Dragging,2,19,12:34,50 m ,12:35,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Dragging,2,20,12:35,50 m ,12:37,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Dragging,2,21,12:37,50 m ,12:38,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Dragging,2,22,12:39,50 m ,12:40,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Sweeping,2,1,12:44,20 sweeps,12:45,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Sweeping,2,2,12:45,20 sweeps,12:45,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Sweeping,2,3,12:46,20 sweeps,12:46,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Sweeping,2,4,12:47,20 sweeps,12:47,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Sweeping,2,5,12:48,20 sweeps,12:48,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Sweeping,2,6,12:48,20 sweeps,12:49,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Sweeping,2,7,12:49,20 sweeps,12:49,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Sweeping,2,8,12:50,20 sweeps,12:50,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Sweeping,2,9,12:50,20 sweeps,12:50,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Sweeping,2,10,12:50,20 sweeps,12:51,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Sweeping,2,11,12:51,20 sweeps,12:52,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Sweeping,2,12,12:52,20 sweeps,12:52,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Sweeping,2,13,12:52,20 sweeps,12:53,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Sweeping,2,14,12:53,20 sweeps,12:53,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Sweeping,2,15,12:53,20 sweeps,12:54,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Sweeping,2,16,12:54,20 sweeps,12:54,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Sweeping,2,17,12:55,20 sweeps,12:55,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,2,Sweeping,2,18,12:55,20 sweeps,12:56,NA,NA,
Snowville,41.28383,-81.57728,7/8/2019,1,Dragging,3,S-13-2,10:17,S-13-1,10:19,NA,NA,
Snowville,41.28383,-81.57728,7/8/2019,1,Dragging,3,S-13-1,10:19,S-10-1,10:21,NA,NA,
Snowville,41.28383,-81.57728,7/8/2019,1,Dragging,3,S-10-1,10:21,S-10-2,10:23,NA,NA,
Snowville,41.28383,-81.57728,7/8/2019,1,Dragging,3,S-11-2,10:32,S-08-3,10:34,NA,NA,
Snowville,41.28383,-81.57728,7/8/2019,1,Dragging,3,S-08-3,10:35,S-05-2,10:37,NA,NA,
Snowville,41.28383,-81.57728,7/8/2019,1,Dragging,3,S-05-2,10:37,S-02-1,10:40,NA,NA,
Snowville,41.28383,-81.57728,7/8/2019,1,Dragging,3,S-02-1,10:40,S-01-2,10:41,NA,NA,
Snowville,41.28383,-81.57728,7/8/2019,1,Dragging,3,S-01-2,10:42,S-04-3,10:44,NA,NA,
Snowville,41.28383,-81.57728,7/8/2019,1,Dragging,3,S-04-3,10:44,S-04-2,10:46,NA,NA,
Snowville,41.28383,-81.57728,7/8/2019,1,Dragging,3,S-07-3,10:50,S-07-1,10:51,NA,NA,
KSU Rec Prairie ,41.14132,-81.342,7/9/2019,1,Dragging,3,1,10:28,50 m ,10:29,NA,NA,
KSU Rec Prairie ,41.14132,-81.342,7/9/2019,1,Dragging,3,2,10:29,50 m ,10:31,NA,NA,
KSU Rec Prairie ,41.14132,-81.342,7/9/2019,1,Dragging,3,3,10:31,50 m ,10:32,NA,NA,
KSU Rec Prairie ,41.14132,-81.342,7/9/2019,1,Dragging,3,4,10:32,50 m ,10:34,NA,NA,
KSU Rec Prairie ,41.14132,-81.342,7/9/2019,1,Dragging,3,5,10:34,50 m ,10:36,NA,NA,
KSU Rec Prairie ,41.14132,-81.342,7/9/2019,1,Dragging,3,6,10:36,50 m ,10:38,NA,NA,
KSU Rec Prairie ,41.14132,-81.342,7/9/2019,1,Dragging,3,7,10:38,50 m ,10:40,NA,NA,
KSU Rec Prairie ,41.14132,-81.342,7/9/2019,1,Dragging,3,8,10:40,50 m ,10:41,NA,NA,
KSU Rec Prairie ,41.14132,-81.342,7/9/2019,1,Dragging,3,9,10:41,50 m ,10:42,NA,NA,
KSU Rec Prairie ,41.14132,-81.342,7/9/2019,1,Dragging,3,10,10:43,50 m ,10:44,NA,NA,
KSU Rec Prairie ,41.14132,-81.342,7/9/2019,1,Dragging,3,11,10:44,50 m ,10:46,NA,NA,
KSU Rec Prairie ,41.14132,-81.342,7/9/2019,1,Dragging,3,12,10:46,50 m ,10:47,NA,NA,
KSU Rec Prairie ,41.14132,-81.342,7/9/2019,1,Dragging,3,13,10:48,50 m ,10:50,NA,NA,
KSU Rec Prairie ,41.14132,-81.342,7/9/2019,1,Dragging,3,14,10:50,50 m ,10:52,NA,NA,
KSU Rec Prairie ,41.14132,-81.342,7/9/2019,1,Dragging,3,15,10:53,50 m ,10:55,NA,NA,
KSU Rec Prairie ,41.14132,-81.342,7/9/2019,1,Dragging,3,16,10:56,50 m ,10:59,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,1,9:33,50 m ,9:36,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,2,9:36,50 m ,9:38,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,3,9:38,50 m ,9:39,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,4,9:40,50 m ,9:41,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,5,9:41,50 m ,9:42,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,6,9:43,50 m ,9:44,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,7,9:44,50 m ,9:45,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,8,9:46,50 m ,9:47,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,9,9:47,50 m ,9:48,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,10,9:48,50 m ,9:50,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,11,9:50,50 m ,9:51,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,12,9:51,50 m ,9:53,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,13,9:53,50 m ,9:54,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,14,9:54,50 m ,9:55,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,15,9:55,50 m ,9:57,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,16,9:57,50 m ,9:58,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,17,9:58,50 m ,9:59,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,18,10,50 m ,10:01,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,19,10:01,50 m ,10:02,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,20,10:02,50 m ,10:03,NA,NA,
Brecksville Reservation ,41.30931,-81.60319,7/16/2019,1,Dragging,2,1,10:05,50 m ,10:06,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,2,10:06,50 m ,10:07,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,3,10:11,50 m ,10:12,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,4,10:13,50 m ,10:14,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,1,Dragging,2,5,10:14,50 m ,10:15,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,1,9:33,50 m ,9:36,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,2,9:36,50 m ,9:38,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,3,9:38,50 m ,9:39,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,4,9:39,50 m ,9:40,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,5,9:41,50 m ,9:42,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,6,9:43,50 m ,9:44,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,7,9:44,50 m ,9:46,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,8,9:46,50 m ,9:47,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,9,9:47,50 m ,9:48,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,10,9:49,50 m ,9:50,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,11,9:50,50 m ,9:52,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,12,9:52,50 m ,9:53,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,13,9:53,50 m ,9:54,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,14,9:54,50 m ,9:55,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,15,9:55,50 m ,9:57,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,16,9:57,50 m ,9:58,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,17,9:58,50 m ,9:59,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,18,9:59,50 m ,10:01,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,19,10:01,50 m ,10:02,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,20,10:02,50 m ,10:03,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,1,10:05,50 m ,10:06,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,2,10:06,50 m ,10:08,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,3,10:08,50 m ,10:09,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,4,10:11,50 m ,10:12,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,5,10:13,50 m ,10:14,NA,NA,
Brecksville Reservation,41.30931,-81.60319,7/16/2019,2,Dragging,2,6,10:14,50 m ,10:15,NA,NA,
Cleveland Trust ,41.3926,-81.6323,6/25/2019,2,Dragging,2,3,10:34,50 m ,10:37,1,0,
Snowville,41.28383,-81.57728,7/8/2019,1,Dragging,3,S-11-1,10:25,S-11-2,10:31,16 (3),0,
Snowville,41.28383,-81.57728,7/8/2019,1,Dragging,3,S-04-2,10:47,S-07-3,10:49,20 (1),0,
Snowville,41.28383,-81.57728,7/8/2019,1,Dragging,3,S-07-1,10:51,gate,10:54,27 (1),0,
Snowville,41.28383,-81.57728,7/8/2019,1,Dragging,3,S-10-2,10:25,S-11-1,10:26,33 (1),0,
Snowville,41.28383,-81.57728,7/8/2019,1,Dragging,3,gate,10:55,car,11:00,58 (4),0,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,1,Dragging,2,2,11:18,50 m ,11:20,NA,17,
Snowville,41.28383,-81.57728,7/8/2019,1,Dragging,3,car,,,,NA,19 (1),
